# zeta_toy_growth FAST (Klein-orbit reps, u128 exact packing) c=5 e=6 dmax=21 passes=64
# d u_d k0_in_sphere max_abs_k reps secs maxrss_mb
0 1 1 0 1 0.0 2
1 4 2 1 2 0.0 2
2 12 2 2 4 0.0 2
3 36 6 3 10 0.0 2
4 100 14 4 26 0.0 2
5 268 26 5 68 0.0 2
6 704 54 6 178 0.0 2
7 1812 110 7 455 0.0 3
8 4600 218 8 1153 0.0 3
9 11496 434 9 2877 0.0 3
10 28270 848 10 7073 0.0 3
11 68880 1642 11 17225 0.1 4
12 166884 3066 12 41730 0.1 5
13 402176 5762 13 100551 0.2 7
14 964060 11010 14 241029 0.4 11
15 2301080 20606 15 575283 0.9 21
16 5475086 38192 16 1368798 1.9 48
17 12993680 70902 17 3248442 4.1 107
18 30771148 131522 18 7692832 9.4 249
19 72742634 242980 19 18185696 22.4 578
20 171713114 445460 20 42928355 52.1 1367
21 404852468 814730 21 101213191 122.2 1589
